industry,n_firms,ev_ebitda_rd_pos,ev_ebitda_pos,ev_ebit_pos,ev_nopat_pos,ev_ebitda_rd_all,ev_ebitda_all,ev_ebit_all,ev_nopat_all
Advertising,52.0,10.21,12.0,20.91,28.29,12.41,15.12,21.15,28.62
Aerospace/Defense,79.0,16.77,21.58,34.79,44.35,24.28,33.42,41.06,52.34
Air Transport,23.0,7.35,7.58,19.32,27.36,9.63,9.99,21.02,29.76
Apparel,35.0,10.3,10.3,16.09,19.78,13.88,13.89,16.12,19.82
Auto & Truck,33.0,28.72,47.76,160.32,,30.35,51.85,162.97,
Auto Parts,35.0,4.46,6.43,12.38,20.1,5.88,9.11,14.18,23.01
Bank (Money Center),15.0,,,,,,,,
Banks (Regional),568.0,,,,,,,,
Beverage (Alcoholic),14.0,8.61,8.61,10.75,13.2,8.31,8.31,10.77,13.22
Beverage (Soft),27.0,16.58,16.9,20.14,25.03,17.86,18.24,20.15,25.04
Broadcasting,24.0,7.84,7.85,11.16,14.32,7.66,7.66,11.3,14.5
Brokerage & Investment Banking,32.0,,,,,,,,
Building Materials,41.0,10.83,11.61,15.97,22.39,11.01,11.81,15.99,22.4
Business & Consumer Services,155.0,13.35,14.26,20.15,26.48,15.03,16.17,20.53,26.99
Cable TV,9.0,6.18,6.21,11.27,13.98,6.32,6.35,11.27,13.98
Chemical (Basic),29.0,7.77,8.57,28.98,32.65,6.34,6.85,29.58,33.32
Chemical (Diversified),4.0,7.05,8.39,24.69,24.69,7.27,8.7,24.71,24.71
Chemical (Specialty),59.0,11.8,13.36,21.3,27.56,12.84,14.7,21.34,27.61
Coal & Related Energy,16.0,10.16,10.37,,,19.08,19.45,,
Computer Services,64.0,11.35,14.1,19.25,24.8,12.84,16.46,19.36,24.94
Computers/Peripherals,36.0,19.98,25.42,29.36,34.6,20.46,26.18,29.48,34.74
Construction Supplies,40.0,14.93,16.82,21.15,27.31,14.76,16.6,21.16,27.33
Diversified,20.0,11.14,11.42,13.49,16.36,9.65,9.85,13.5,16.37
Drugs (Biotechnology),496.0,7.44,15.78,68.97,107.53,13.59,51.49,90.38,140.91
Drugs (Pharmaceutical),228.0,9.96,15.25,20.32,24.26,11.44,18.58,21.12,25.21
Education,32.0,7.8,9.26,14.49,20.78,9.69,12.01,14.7,21.08
Electrical Equipment,112.0,19.98,24.59,43.19,61.95,26.64,34.95,45.34,65.02
Electronics (Consumer & Office),8.0,3.9,30.7,,,,,,
Electronics (General),114.0,15.74,19.99,29.76,37.85,19.33,25.93,30.48,38.77
Engineering/Construction,48.0,17.11,17.18,25.17,33.4,21.69,21.8,25.69,34.09
Entertainment,92.0,16.5,19.41,38.92,44.73,20.21,24.39,41.76,48.0
Environmental & Waste Services,53.0,15.34,15.61,24.83,31.58,17.28,17.63,24.92,31.69
Farming/Agriculture,35.0,13.55,16.04,23.74,29.46,14.01,16.66,23.9,29.67
Financial Svcs. (Non-bank & Insurance),176.0,52.24,57.52,69.4,87.0,81.2,89.94,101.99,127.86
Food Processing,78.0,9.62,10.01,13.61,16.8,9.26,9.63,13.64,16.84
Food Wholesalers,13.0,11.08,11.08,17.94,23.33,12.32,12.32,17.95,23.33
Furn/Home Furnishings,27.0,9.7,11.27,19.15,26.5,11.44,13.66,19.38,26.83
Green & Renewable Energy,15.0,13.42,13.44,42.63,42.63,13.43,13.46,42.78,42.78
Healthcare Products,204.0,15.13,19.78,29.99,34.48,17.3,23.42,30.79,35.39
Healthcare Support Services,104.0,10.98,11.17,15.02,19.61,11.64,11.84,15.31,19.98
Heathcare Information and Technology,115.0,16.54,21.27,34.76,42.45,19.38,25.9,35.99,43.95
Homebuilding,30.0,8.92,8.92,9.43,12.36,8.43,8.43,9.43,12.36
Hospitals/Healthcare Facilities,31.0,8.84,8.86,13.12,16.62,10.65,10.69,13.14,16.65
Hotel/Gaming,63.0,13.57,14.93,25.71,30.94,15.86,17.7,26.32,31.67
Household Products,110.0,12.13,13.17,16.25,20.25,12.57,13.69,16.28,20.28
Information Services,15.0,10.38,11.5,17.77,22.73,11.43,12.81,17.77,22.74
Insurance (General),21.0,15.65,15.76,20.1,26.02,18.21,18.35,20.15,26.09
Insurance (Life),20.0,12.52,12.52,11.7,14.42,11.16,11.16,12.06,14.87
Insurance (Prop/Cas.),57.0,8.44,8.44,9.64,12.31,10.1,10.1,9.73,12.43
Investments & Asset Management,283.0,36.76,38.03,20.4,31.02,45.28,47.09,21.78,33.13
Machinery,105.0,14.78,16.22,21.04,26.4,15.82,17.46,21.33,26.77
Metals & Mining,73.0,11.33,11.39,15.72,24.27,13.66,13.74,16.98,26.21
Office Equipment & Services,14.0,7.62,8.59,13.03,16.5,8.72,10.0,13.18,16.69
Oil/Gas (Integrated),4.0,8.07,8.16,15.16,22.13,8.0,8.09,15.16,22.13
Oil/Gas (Production and Exploration),142.0,5.12,5.15,10.28,13.71,6.18,6.21,10.39,13.86
Oil/Gas Distribution,23.0,11.56,11.56,16.48,20.74,13.35,13.35,16.78,21.11
Oilfield Svcs/Equip.,97.0,8.31,8.63,14.9,18.54,9.18,9.56,15.3,19.03
Packaging & Container,19.0,9.46,9.71,15.78,19.92,10.48,10.78,15.81,19.96
Paper/Forest Products,6.0,8.05,8.18,15.51,19.94,6.87,6.97,15.51,19.94
Power,46.0,12.34,12.38,21.86,24.81,13.25,13.29,21.99,24.96
Precious Metals,56.0,10.58,10.68,14.28,20.1,17.05,17.28,14.79,20.81
Publishing & Newspapers,19.0,10.21,11.24,17.16,22.97,11.57,12.9,17.27,23.12
R.E.I.T.,190.0,19.87,19.87,42.73,44.34,24.31,24.32,47.96,49.76
Real Estate (Development),14.0,10.23,10.23,13.49,18.52,12.16,12.16,14.31,19.65
