industry,n_firms,beta_levered,cost_of_equity,equity_pct,std_dev,pretax_cod,tax_rate,aftertax_cod,debt_pct,wacc
Steel,19.0,1.0628,8.69,80.96,38.51,5.07,9.28,3.8,19.04,7.76
Telecom (Wireless),12.0,0.5381,6.35,65.81,40.18,5.07,4.02,3.8,34.19,5.48
Telecom. Equipment,57.0,0.9232,8.07,91.56,55.26,5.29,7.06,3.97,8.44,7.72
Telecom. Services,39.0,0.6287,6.75,51.0,60.29,5.29,3.4,3.97,49.0,5.39
Tobacco,10.0,0.7943,7.49,81.32,65.96,6.02,14.77,4.51,18.68,6.94
Transportation,19.0,0.8599,7.79,73.29,38.13,5.07,8.54,3.8,26.71,6.72
Transportation (Railroads),4.0,0.9751,8.3,78.25,23.9,4.73,16.98,3.55,21.75,7.27
Trucking,26.0,1.0113,8.46,79.85,35.29,5.07,12.6,3.8,20.15,7.52
Utility (General),14.0,0.2394,5.02,55.1,14.96,4.73,12.77,3.55,44.9,4.36
Utility (Water),14.0,0.4127,5.79,61.59,29.6,4.73,11.19,3.55,38.41,4.93
